#################################################
##               rldock score v2               ##
#################################################
in_rec_path:      2CKY-A-1084-TPP/rec.mol2
in_ref_lig_path:  2CKY-A-1084-TPP/cpd_charge.mol2
in_poses_path:    2CKY-A-1084-TPP/pose/pose.mol2
in_info_path:     2CKY-A-1084-TPP/info.txt
in_score_mode:    binding_mode
debye length:     11
rec_file_name:      rec.mol2
ref_lig_file_name:  cpd_charge.mol2
poses_file_name:    pose.mol2
info_file_name:     info.txt
verbose:  0
#################################################
Load receptor: 2CKY_nuc from 2CKY-A-1084-TPP/rec.mol2
--> heavy atom num: 1652
Load reference ligand: TPP from 2CKY-A-1084-TPP/cpd_charge.mol2
--> heavy atom num: 26
#Scoring -----------------------------------------
#pose total dU(lj) dU(ele) dU(mutual_pol) dU(lig_self_pol) dU(sasa) dU(hbond) dU(rec_self_pol) dU(lig_lj) dU(lig_ele) rot_dof dU(stack)
rdock_02_83 -8.714 -2.983 141.096 -138.741 6.458 -3.876 -7.852 4.476 0.022 -1.026 8.000 -1.015
rdock_02_84 -10.856 -2.748 138.843 -136.515 4.989 -3.847 -7.414 3.780 0.004 -1.139 8.000 -2.141
rdock_02_85 -11.839 -3.379 141.716 -139.903 5.069 -3.865 -6.697 3.893 0.040 0.756 8.000 -3.250
rdock_02_86 -9.741 -2.800 141.278 -138.338 5.385 -4.041 -7.053 4.075 0.020 0.195 8.000 -1.412
rdock_02_87 -9.144 -2.808 141.054 -137.343 6.323 -3.994 -6.783 3.994 -0.088 -0.540 8.000 -1.355
rdock_02_88 -9.540 -2.608 134.734 -134.440 4.854 -3.721 -6.599 3.730 0.108 1.585 8.000 -1.222
rdock_02_89 -10.216 -2.687 137.594 -136.534 4.750 -3.879 -5.764 3.777 0.127 1.695 8.000 -1.793
rdock_02_90 -9.600 -2.482 138.762 -136.619 5.029 -3.939 -7.140 3.734 0.104 0.686 8.000 -1.124
rdock_02_91 -9.735 -2.645 140.721 -137.926 5.513 -4.042 -5.678 3.904 0.028 0.352 8.000 -1.514
rdock_02_92 -10.081 -2.318 136.342 -134.283 5.031 -3.982 -7.367 3.565 0.053 -0.390 8.000 -1.147
rdock_02_93 -11.709 -3.337 137.434 -136.045 4.972 -3.882 -6.516 3.920 0.156 1.065 8.000 -3.155
rdock_02_94 -11.225 -3.868 146.850 -144.730 6.054 -3.850 -6.078 4.605 0.021 -0.356 8.000 -3.301
rdock_02_95 -8.776 -2.267 138.726 -136.410 5.604 -3.832 -7.246 3.549 -0.029 0.729 8.000 -0.817
rdock_02_96 -11.937 -3.354 141.219 -140.095 5.246 -3.867 -7.563 3.824 0.161 1.215 8.000 -3.241
rdock_02_97 -8.087 -2.549 160.346 -156.200 6.857 -3.928 -8.460 3.986 0.075 1.547 8.000 -1.081
rdock_02_98 -12.275 -4.050 143.738 -141.795 5.547 -3.878 -6.568 4.269 0.093 0.398 8.000 -3.780
rdock_02_99 -11.871 -3.648 144.454 -142.735 5.635 -3.868 -7.101 4.196 0.020 0.215 8.000 -3.434
rdock_02_100 -9.353 -2.259 143.262 -139.107 5.206 -4.082 -3.253 3.732 -0.029 -1.655 8.000 -0.899
rdock_02_101 -11.648 -3.853 140.880 -139.657 5.687 -3.762 -7.511 4.119 0.184 1.914 8.000 -3.700
rdock_02_102 -10.064 -2.516 138.836 -136.375 5.242 -3.964 -5.876 3.596 0.007 -1.031 8.000 -1.154
