#################################################
##               rldock score v2               ##
#################################################
in_rec_path:      2CKY-A-1084-TPP/rec.mol2
in_ref_lig_path:  2CKY-A-1084-TPP/cpd_charge.mol2
in_poses_path:    2CKY-A-1084-TPP/pose/pose.mol2
in_info_path:     2CKY-A-1084-TPP/info.txt
in_score_mode:    binding_mode
debye length:     11
rec_file_name:      rec.mol2
ref_lig_file_name:  cpd_charge.mol2
poses_file_name:    pose.mol2
info_file_name:     info.txt
verbose:  0
#################################################
Load receptor: 2CKY_nuc from 2CKY-A-1084-TPP/rec.mol2
--> heavy atom num: 1652
Load reference ligand: TPP from 2CKY-A-1084-TPP/cpd_charge.mol2
--> heavy atom num: 26
#Scoring -----------------------------------------
#pose total dU(lj) dU(ele) dU(mutual_pol) dU(lig_self_pol) dU(sasa) dU(hbond) dU(rec_self_pol) dU(lig_lj) dU(lig_ele) rot_dof dU(stack)
vina_03_117 -8.101 -1.736 155.772 -148.977 5.022 -3.858 -5.021 3.368 0.015 -1.012 8.000 -0.827
vina_03_118 -8.758 -1.926 148.910 -144.811 5.845 -4.096 -2.434 3.197 0.057 0.140 8.000 -0.606
vina_03_119 -8.173 -1.894 159.427 -152.896 5.499 -4.112 -5.928 3.406 0.118 1.042 8.000 -0.687
vina_03_121 -8.411 -1.741 150.700 -144.065 5.652 -3.934 -5.678 3.227 -0.124 -1.678 8.000 -0.896
vina_03_122 -9.791 -1.668 146.254 -141.202 5.135 -4.154 -3.323 3.001 -0.181 -1.755 8.000 -0.931
vina_03_123 -9.209 -1.586 144.334 -139.672 5.189 -4.133 -2.070 2.996 -0.104 -0.215 8.000 -0.923
vina_03_124 -9.422 -1.817 139.669 -137.097 5.335 -4.021 -6.713 3.210 0.058 -0.709 8.000 -0.477
vina_03_125 -8.072 -2.353 159.750 -154.925 6.524 -4.058 -7.400 3.784 0.146 1.183 8.000 -0.642
vina_03_126 -6.941 -1.874 158.187 -152.388 6.149 -3.710 -6.516 3.353 0.130 1.343 8.000 -0.622
vina_03_127 -9.525 -1.932 138.681 -135.115 5.033 -4.183 -4.488 3.362 0.027 -1.094 8.000 -0.475
vina_03_128 -8.515 -1.631 158.068 -150.464 5.886 -4.036 -4.404 3.177 -0.168 -2.575 8.000 -0.858
vina_03_129 -8.837 -1.611 145.790 -141.439 5.682 -4.109 -5.975 3.107 -0.042 -1.416 8.000 -0.111
vina_03_130 -8.640 -1.956 147.023 -144.550 5.698 -4.027 -3.609 3.466 0.076 0.955 8.000 -0.498
vina_03_131 -9.309 -1.908 139.415 -134.931 5.293 -4.076 -4.698 3.276 -0.116 -2.136 8.000 -0.579
vina_03_132 -8.155 -1.750 140.720 -137.500 5.334 -3.897 -2.722 3.313 -0.023 0.026 8.000 -0.336
vina_03_133 -7.277 -1.922 158.562 -153.474 6.561 -3.927 -6.003 3.468 0.152 0.894 8.000 -0.281
vina_03_134 -9.707 -2.419 139.009 -136.485 5.536 -4.116 -4.592 3.711 0.071 0.696 8.000 -1.362
vina_03_135 -8.685 -1.963 141.293 -135.926 5.147 -3.871 -2.272 3.265 -0.000 -1.863 8.000 -0.964
vina_03_137 -8.795 -1.697 146.270 -142.787 5.554 -4.220 -2.928 3.256 0.060 0.753 8.000 -0.361
vina_03_138 -7.642 -1.757 159.515 -152.002 5.420 -3.724 -4.742 3.284 -0.123 -0.654 8.000 -1.096
vina_03_139 -9.518 -2.422 142.008 -138.438 6.024 -3.982 -4.963 3.693 -0.040 -1.849 8.000 -1.284
vina_03_140 -8.595 -1.920 158.414 -152.241 5.580 -4.167 -3.479 3.380 -0.000 -0.453 8.000 -0.565
vina_03_141 -7.737 -1.703 158.675 -152.123 5.554 -4.069 -3.299 3.350 0.113 0.866 8.000 -0.630
vina_03_142 -8.107 -1.940 159.893 -154.419 6.147 -4.177 -4.488 3.507 0.076 0.791 8.000 -0.455
vina_03_143 -7.184 -1.839 153.437 -147.726 5.813 -3.857 -2.925 3.412 0.141 -0.135 8.000 -0.271
vina_03_144 -9.680 -1.723 142.701 -138.662 5.320 -4.154 -2.670 2.982 -0.168 -0.680 8.000 -0.918
vina_03_145 -9.560 -1.810 136.484 -133.825 5.020 -4.199 -4.472 3.196 0.148 -0.285 8.000 -0.342
vina_03_146 -9.240 -1.739 141.496 -136.014 5.417 -4.166 -2.587 3.203 -0.112 -2.895 8.000 -0.617
vina_03_147 -9.723 -2.196 138.531 -135.949 5.286 -4.081 -3.214 3.417 0.086 -0.163 8.000 -1.037
vina_03_148 -8.466 -1.734 143.633 -139.006 6.010 -3.988 -2.865 3.075 -0.118 -1.001 8.000 -0.626
vina_03_149 -8.222 -1.648 158.633 -151.886 4.926 -4.076 -2.649 3.119 -0.097 -0.127 8.000 -0.307
vina_03_150 -8.714 -1.576 155.494 -149.036 4.490 -3.988 -2.044 3.022 -0.040 -0.351 8.000 -0.823
vina_03_151 -8.796 -1.806 151.871 -146.861 5.688 -4.087 -1.388 3.042 -0.033 -0.122 8.000 -0.758
vina_03_152 -7.716 -1.815 157.985 -151.669 5.227 -3.856 -5.177 3.396 0.100 1.146 8.000 -0.910
vina_03_153 -8.183 -1.632 140.605 -137.101 5.950 -4.034 -2.314 3.172 -0.174 -0.260 8.000 -0.232
vina_03_154 -9.098 -1.655 156.330 -149.943 5.022 -3.885 -2.701 2.894 -0.191 -1.375 8.000 -1.200
vina_03_155 -9.258 -1.595 144.647 -139.541 5.218 -4.214 -1.791 2.983 -0.020 -0.862 8.000 -0.720
vina_03_156 -8.876 -1.851 160.616 -154.365 5.104 -4.070 -3.250 3.260 0.081 0.405 8.000 -1.132
vina_03_157 -7.302 -1.779 156.671 -150.631 6.289 -3.966 -4.293 3.284 0.057 0.392 8.000 -0.306
vina_03_158 -6.021 -2.057 159.482 -153.968 6.689 -3.633 -5.400 3.676 0.020 0.575 8.000 -0.005
vina_03_159 -7.844 -2.065 160.020 -155.105 6.169 -3.830 -6.482 3.548 0.119 1.145 8.000 -0.936
vina_03_160 -9.809 -1.760 147.782 -143.016 5.036 -3.915 -3.617 2.877 -0.116 -1.610 8.000 -1.289
vina_03_161 -8.212 -1.791 159.518 -152.779 4.939 -3.848 -2.083 3.298 -0.069 0.107 8.000 -1.247
vina_03_162 -7.426 -1.861 157.665 -151.117 5.005 -3.734 -4.389 3.274 0.151 1.434 8.000 -0.887
vina_03_163 -7.954 -1.740 150.570 -145.811 6.061 -4.021 -2.634 3.349 -0.040 -1.295 8.000 -0.110
vina_03_164 -8.030 -2.287 156.246 -151.731 7.089 -3.990 -5.967 3.644 0.027 0.346 8.000 -0.800
vina_03_165 -8.405 -1.918 159.241 -153.911 6.142 -4.102 -5.005 3.336 -0.003 0.347 8.000 -0.587
vina_03_166 -11.398 -2.549 136.418 -134.520 4.957 -4.018 -6.835 3.455 0.109 -0.036 8.000 -2.300
vina_03_167 -9.447 -1.768 148.019 -142.831 4.539 -3.890 -3.117 2.966 -0.022 -1.687 8.000 -0.964
vina_03_168 -8.351 -1.496 155.674 -149.992 5.369 -3.935 -3.973 2.978 -0.214 -0.237 8.000 -0.605
vina_03_169 -8.246 -1.807 159.636 -152.897 5.437 -4.146 -3.097 3.265 -0.087 0.152 8.000 -0.484
vina_03_170 -7.419 -2.174 156.784 -151.088 6.376 -3.863 -4.306 3.577 0.131 0.892 8.000 -0.882
vina_03_171 -9.406 -1.657 143.542 -138.776 5.085 -4.189 -2.332 3.022 -0.072 -0.775 8.000 -0.754
vina_03_172 -7.795 -1.632 160.400 -154.118 5.515 -3.945 -3.583 3.207 0.078 0.594 8.000 -0.668
vina_03_173 -8.947 -1.931 159.624 -154.003 5.339 -3.998 -2.967 3.361 -0.035 0.041 8.000 -1.290
vina_03_174 -7.802 -2.117 156.540 -151.781 6.536 -4.049 -5.541 3.560 0.169 0.943 8.000 -0.422
vina_03_175 -7.907 -1.928 157.111 -150.001 5.025 -3.744 -4.480 3.343 0.049 -0.576 8.000 -1.029
vina_03_176 -8.390 -1.868 149.106 -144.677 5.723 -3.887 -2.691 3.167 -0.166 -0.395 8.000 -0.651
vina_03_177 -8.287 -1.687 159.822 -152.830 4.564 -3.883 -2.122 3.162 0.077 0.360 8.000 -1.132
vina_03_178 -7.599 -1.742 156.622 -151.231 5.754 -3.952 -2.980 3.287 0.106 1.517 8.000 -0.656
vina_03_179 -8.481 -1.596 159.658 -152.690 5.440 -4.025 -3.687 3.102 -0.014 -1.289 8.000 -0.736
vina_03_180 -7.879 -1.646 160.105 -152.971 5.020 -3.877 -2.137 3.181 -0.079 0.145 8.000 -0.931
vina_03_181 -8.473 -1.673 153.842 -148.651 5.368 -3.944 -2.995 3.300 -0.134 -0.438 8.000 -0.877
vina_03_182 -8.099 -1.849 155.198 -147.492 5.166 -4.038 -1.323 3.511 -0.010 -2.441 8.000 -0.631
vina_03_183 -8.748 -1.737 146.831 -141.249 4.810 -3.984 -1.937 3.110 -0.036 -0.253 8.000 -0.961
vina_03_184 -9.472 -1.961 140.238 -135.849 5.106 -3.979 -4.480 3.270 0.000 -2.754 8.000 -0.704
vina_03_185 -8.700 -1.820 143.794 -138.667 5.771 -4.063 -4.025 3.217 -0.085 -1.941 8.000 -0.443
vina_03_186 -8.512 -1.727 144.886 -139.029 4.789 -3.934 -3.944 3.280 -0.012 -1.608 8.000 -0.634
vina_03_187 -8.136 -1.789 147.227 -142.236 5.738 -4.038 -1.378 3.278 -0.039 0.041 8.000 -0.663
vina_03_188 -8.832 -1.741 157.886 -152.204 5.490 -4.293 -2.623 3.238 0.099 0.070 8.000 -0.453
vina_03_189 -7.753 -1.931 156.522 -151.071 6.642 -4.074 -4.061 3.539 0.004 -1.201 8.000 -0.155
vina_03_190 -8.746 -1.974 156.383 -150.288 4.991 -3.871 -3.266 3.291 -0.118 -0.930 8.000 -1.035
vina_03_191 -8.459 -1.650 155.078 -149.273 5.721 -3.952 -4.033 3.131 -0.127 -0.595 8.000 -0.916
vina_03_192 -9.357 -2.378 149.765 -145.629 6.046 -4.072 -4.139 3.385 -0.080 -0.955 8.000 -0.797
vina_03_193 -7.841 -1.570 144.002 -138.294 5.214 -3.866 -2.727 3.217 -0.048 -2.581 8.000 -0.100
vina_03_194 -7.600 -1.639 158.576 -150.846 5.718 -4.040 -3.481 3.253 0.079 -1.144 8.000 -0.389
vina_03_195 -8.577 -1.626 145.604 -140.190 5.105 -3.987 -3.396 3.070 -0.162 -1.410 8.000 -0.406
vina_03_196 -9.587 -1.669 141.524 -137.238 4.912 -4.146 -4.716 2.820 -0.118 -1.094 8.000 -0.271
vina_03_197 -8.126 -1.544 158.704 -150.872 4.842 -3.865 -4.397 2.963 0.041 -1.103 8.000 -0.732
vina_03_198 -9.372 -1.675 140.260 -137.197 4.804 -4.061 -5.372 3.085 0.078 -0.046 8.000 -0.457
vina_03_199 -8.790 -1.676 149.862 -145.218 5.757 -3.931 -3.783 2.963 -0.147 -1.222 8.000 -0.633
vina_03_200 -9.012 -1.796 145.086 -139.610 5.801 -4.168 -3.523 3.268 -0.066 -2.742 8.000 -0.485
vina_03_201 -9.509 -1.936 142.413 -140.116 5.387 -4.002 -5.161 3.342 0.064 -0.283 8.000 -0.813
vina_03_202 -7.838 -1.590 153.549 -146.666 5.034 -3.979 -2.616 3.202 -0.095 -0.498 8.000 -0.474
vina_03_203 -10.275 -1.997 142.101 -137.035 5.546 -4.297 -4.651 3.265 -0.039 -2.563 8.000 -1.125
vina_03_204 -7.776 -1.676 159.386 -152.042 4.713 -3.862 -2.161 3.206 -0.007 0.563 8.000 -0.939
vina_03_205 -8.590 -1.988 158.778 -152.869 5.260 -4.002 -2.350 3.419 0.105 0.560 8.000 -1.224
vina_03_206 -8.204 -1.793 146.028 -142.310 6.306 -4.030 -2.488 3.207 -0.076 -0.632 8.000 -0.200
vina_03_207 -8.195 -1.978 141.295 -137.234 5.525 -3.901 -3.796 3.468 -0.051 -1.510 8.000 -0.207
vina_03_208 -8.475 -1.470 149.208 -143.668 5.298 -4.113 -2.548 3.060 -0.073 -1.078 8.000 -0.281
vina_03_209 -8.222 -2.079 158.964 -154.121 6.796 -4.134 -6.162 3.610 0.197 0.294 8.000 -0.624
vina_03_210 -8.954 -1.604 143.554 -139.687 4.774 -4.022 -4.363 2.984 -0.103 -0.352 8.000 -0.163
vina_03_211 -7.996 -2.047 145.153 -141.171 6.066 -3.936 -1.654 3.598 -0.040 -1.147 8.000 -0.439
vina_03_212 -7.804 -1.657 154.584 -148.433 4.640 -3.753 -5.530 3.003 0.146 1.260 8.000 -0.670
vina_03_213 -8.756 -1.700 142.230 -138.355 5.895 -4.010 -3.754 3.128 -0.178 -0.382 8.000 -0.788
vina_03_214 -9.295 -1.813 148.837 -144.040 4.982 -4.115 -2.538 3.381 0.056 -0.607 8.000 -1.075
vina_03_215 -7.815 -1.562 161.964 -155.216 5.157 -4.030 -4.971 3.224 0.131 1.452 8.000 -0.628
vina_03_216 -8.239 -1.838 155.755 -149.113 4.788 -3.801 -2.067 3.258 -0.022 -0.142 8.000 -1.242
vina_03_217 -8.811 -1.975 156.906 -150.941 5.741 -4.136 -1.661 3.232 -0.174 -0.770 8.000 -0.719
vina_03_218 -7.700 -1.788 155.154 -149.180 5.303 -3.854 -4.430 3.318 -0.004 0.439 8.000 -0.605
vina_03_219 -9.575 -1.885 143.184 -139.159 4.252 -3.987 -2.782 3.274 0.063 0.395 8.000 -1.327
vina_03_220 -7.960 -1.944 155.231 -149.196 4.795 -3.716 -3.804 3.302 0.020 -0.160 8.000 -0.772
vina_03_221 -9.752 -1.934 139.647 -136.994 5.333 -4.119 -3.965 3.157 0.013 0.322 8.000 -0.950
vina_03_222 -8.867 -1.716 158.692 -152.285 5.147 -4.175 -1.607 3.103 0.019 -0.195 8.000 -0.762
vina_03_223 -8.365 -1.709 156.212 -148.388 4.820 -3.786 -4.667 3.189 -0.061 -1.880 8.000 -1.173
vina_03_224 -8.727 -1.520 143.836 -138.451 4.917 -4.103 -1.505 3.091 -0.018 -0.979 8.000 -0.606
vina_03_225 -8.265 -1.719 155.430 -147.701 4.832 -3.877 -4.836 3.212 -0.123 -2.071 8.000 -0.677
vina_03_226 -7.800 -1.596 147.016 -142.965 5.131 -3.945 -2.374 3.199 0.056 0.894 8.000 -0.127
vina_03_227 -7.710 -1.985 154.107 -147.469 6.065 -4.021 -2.504 3.641 -0.028 -1.568 8.000 -0.570
vina_03_228 -8.066 -1.661 151.937 -145.499 5.403 -3.836 -4.087 3.041 -0.132 -0.304 8.000 -0.932
vina_03_229 -8.420 -1.738 159.045 -151.441 4.553 -3.796 -1.953 3.165 0.040 -1.267 8.000 -1.266
vina_03_230 -8.229 -1.639 160.799 -154.425 5.280 -4.129 -3.247 3.240 -0.067 0.632 8.000 -0.523
vina_03_231 -8.494 -1.734 141.743 -137.311 5.591 -4.051 -4.298 3.163 0.023 -0.505 8.000 -0.387
vina_03_232 -8.033 -2.036 159.440 -153.193 6.570 -4.013 -5.728 3.523 0.266 -0.842 8.000 -0.821
vina_03_233 -8.293 -1.777 156.560 -149.955 4.139 -3.685 -4.737 3.220 0.109 0.408 8.000 -1.265
vina_03_234 -9.374 -2.251 142.531 -138.361 6.208 -3.921 -7.012 3.427 -0.056 -3.029 8.000 -0.895
vina_03_235 -8.212 -1.594 146.383 -141.091 4.949 -3.850 -1.300 3.050 -0.015 -1.171 8.000 -0.540
vina_03_236 -8.239 -1.602 139.515 -136.642 5.426 -3.868 -4.878 3.144 -0.073 -0.427 8.000 -0.052
vina_03_237 -7.759 -1.727 158.037 -150.559 5.800 -4.160 -3.622 3.391 0.038 -0.241 8.000 -0.530
vina_03_238 -7.625 -2.149 157.036 -152.426 7.264 -4.014 -6.009 3.662 -0.004 -0.513 8.000 -0.222
vina_03_239 -8.166 -1.588 157.712 -150.666 4.872 -4.070 -2.085 3.014 0.020 0.469 8.000 -0.564
vina_03_240 -8.010 -1.658 144.936 -140.948 5.228 -3.967 -0.712 3.140 -0.023 0.570 8.000 -0.265
vina_03_241 -8.661 -1.590 153.844 -147.582 4.497 -3.974 -1.737 3.032 -0.010 -0.308 8.000 -0.824
vina_03_242 -7.593 -1.660 160.115 -152.354 4.790 -3.773 -3.390 3.259 0.037 -0.247 8.000 -0.939
vina_03_243 -9.029 -1.777 148.740 -142.865 4.238 -3.907 -3.968 3.086 -0.075 -0.028 8.000 -1.098
vina_03_244 -8.852 -1.721 136.884 -133.542 5.241 -3.904 -5.135 3.221 -0.055 -1.808 8.000 -0.355
vina_03_245 -8.416 -1.671 142.402 -137.982 4.965 -3.914 -1.529 3.241 -0.006 -1.477 8.000 -0.411
vina_03_246 -7.514 -1.857 140.055 -136.643 6.049 -3.834 -4.030 3.397 -0.046 0.231 8.000 -0.253
vina_03_247 -8.584 -2.196 145.714 -141.263 7.234 -3.788 -5.827 3.286 -0.274 -3.328 8.000 -0.805
vina_03_248 -8.652 -1.384 147.713 -142.642 4.767 -4.040 -3.383 2.904 -0.043 -0.722 8.000 -0.194
vina_03_249 -8.503 -1.700 151.895 -146.819 5.660 -3.972 -1.833 3.118 -0.038 -0.269 8.000 -0.907
vina_03_250 -8.429 -1.586 159.669 -151.551 4.936 -4.051 -1.849 3.177 0.045 -1.112 8.000 -1.100
vina_03_251 -6.955 -1.895 155.998 -149.008 6.609 -3.915 -3.510 3.511 0.052 -1.685 8.000 -0.233
vina_03_252 -7.860 -1.851 153.307 -147.997 4.509 -3.615 -1.664 3.299 -0.021 0.205 8.000 -0.933
vina_03_253 -8.745 -2.065 142.217 -139.203 5.172 -3.884 -4.735 3.491 0.036 0.079 8.000 -0.672
vina_03_254 -8.535 -1.789 146.209 -140.474 5.662 -4.155 -2.085 3.150 -0.027 -1.914 8.000 -0.189
vina_03_255 -7.352 -2.029 157.465 -152.265 7.158 -3.840 -6.890 3.529 0.027 -0.933 8.000 -0.358
vina_03_256 -8.171 -1.704 160.636 -154.548 5.815 -4.175 -3.687 3.286 0.040 0.907 8.000 -0.590
vina_03_257 -8.378 -1.482 156.878 -150.187 4.391 -4.004 -0.835 3.108 0.034 0.231 8.000 -0.884
vina_03_258 -7.724 -1.420 159.249 -151.796 4.573 -3.979 -1.986 3.081 0.245 0.274 8.000 -0.535
vina_03_259 -8.187 -1.568 153.716 -146.875 4.377 -3.911 -1.630 3.115 0.104 -0.109 8.000 -0.868
vina_03_260 -8.374 -1.730 145.289 -138.454 4.998 -3.821 -1.456 3.255 -0.122 -2.403 8.000 -1.222
vina_03_261 -8.245 -1.519 153.672 -146.900 4.245 -3.811 -4.480 2.984 0.036 0.276 8.000 -0.899
vina_03_262 -8.455 -1.636 157.668 -150.280 4.911 -4.004 -1.310 3.212 0.069 -0.505 8.000 -1.270
vina_03_263 -8.594 -1.490 152.984 -146.783 4.506 -3.935 -1.882 3.007 -0.057 -0.272 8.000 -0.922
vina_03_264 -7.394 -1.662 157.177 -150.954 5.838 -3.796 -1.342 3.242 -0.234 -1.218 8.000 -0.448
vina_03_265 -7.764 -1.734 158.080 -151.468 5.421 -3.970 -2.467 3.230 0.122 0.673 8.000 -0.758
vina_03_266 -7.935 -1.703 153.955 -148.592 4.524 -3.874 -0.892 3.176 0.051 0.975 8.000 -0.510
vina_03_267 -6.420 -1.774 158.750 -152.889 6.549 -3.675 -3.783 3.438 -0.073 -0.008 8.000 -0.294
vina_03_268 -8.763 -1.807 152.052 -145.478 5.749 -4.080 -1.165 3.220 -0.212 -2.110 8.000 -0.971
vina_03_269 -7.539 -1.638 159.116 -151.689 5.723 -3.760 -2.584 3.096 -0.201 -1.620 8.000 -0.709
vina_03_270 -9.784 -1.361 141.693 -135.696 4.619 -4.132 -1.336 2.736 -0.123 -2.573 8.000 -1.050
vina_03_271 -7.532 -1.653 158.747 -153.615 6.069 -3.932 -3.593 3.298 0.080 0.922 8.000 -0.508
vina_03_272 -8.624 -1.442 149.396 -143.469 3.782 -3.928 -0.762 3.072 0.088 0.142 8.000 -0.945
vina_03_273 -7.720 -1.788 156.443 -149.261 6.613 -3.910 -4.326 3.352 -0.223 -2.767 8.000 -0.626
vina_03_274 -8.096 -1.442 153.167 -146.029 4.864 -3.981 -3.996 3.038 -0.105 -0.984 8.000 -0.439
vina_03_275 -7.730 -1.551 153.614 -146.610 4.380 -3.754 -3.029 3.054 0.041 0.447 8.000 -0.880
vina_03_276 -7.729 -1.554 156.136 -148.763 5.057 -3.993 -1.992 3.049 0.044 -0.296 8.000 -0.422
vina_03_277 -9.170 -1.817 145.503 -140.269 5.257 -4.177 -1.238 3.123 -0.048 -1.531 8.000 -0.582
vina_03_278 -6.927 -1.627 159.297 -153.006 6.249 -3.872 -4.545 3.308 -0.037 -0.421 8.000 -0.029
vina_03_279 -7.821 -1.682 152.652 -146.288 4.804 -3.903 -3.585 3.203 0.122 -0.123 8.000 -0.393
vina_03_280 -8.016 -1.527 157.136 -150.569 4.677 -3.900 -2.961 3.124 0.053 0.334 8.000 -0.741
vina_03_281 -8.673 -2.084 144.146 -141.589 6.411 -3.895 -4.722 3.304 -0.108 -0.831 8.000 -0.432
vina_03_282 -7.813 -1.813 156.649 -150.064 5.820 -4.083 -2.605 3.513 0.027 -0.656 8.000 -0.555
vina_03_283 -8.749 -1.806 159.542 -152.751 5.021 -4.037 -2.990 3.324 0.001 -0.557 8.000 -1.100
vina_03_284 -7.442 -1.584 153.748 -146.209 5.568 -3.914 -3.318 3.397 0.010 -1.848 8.000 -0.588
vina_03_285 -7.792 -1.412 154.636 -147.862 4.744 -3.963 -2.795 3.105 0.164 -0.438 8.000 -0.341
vina_03_286 -7.487 -1.482 150.398 -144.041 4.518 -3.730 -2.205 3.078 0.017 -0.631 8.000 -0.383
vina_03_287 -7.786 -2.111 144.266 -140.966 5.976 -3.779 -2.808 3.632 0.112 -0.917 8.000 -0.397
vina_03_288 -7.398 -1.633 155.702 -148.872 4.903 -3.640 -5.262 3.137 0.149 -0.089 8.000 -0.734
vina_03_289 -8.114 -1.783 143.145 -138.769 5.678 -3.923 -3.344 3.143 -0.041 -1.293 8.000 -0.062
vina_03_290 -9.023 -1.752 139.504 -136.114 5.356 -4.295 -2.330 3.294 0.190 0.190 8.000 -0.330
vina_03_291 -8.122 -1.766 146.832 -141.784 5.817 -4.136 -1.599 3.210 0.015 0.076 8.000 -0.349
vina_03_292 -7.763 -1.792 151.760 -144.972 4.450 -3.762 -2.233 3.511 0.249 -0.913 8.000 -0.968
vina_03_293 -8.335 -1.203 159.927 -151.709 5.055 -4.283 -1.581 2.946 0.032 -1.373 8.000 -0.332
vina_03_294 -8.151 -1.681 154.729 -148.661 4.112 -3.720 -4.178 3.220 0.137 0.824 8.000 -1.078
vina_03_295 -7.723 -2.015 156.887 -149.940 6.165 -3.981 -3.830 3.544 0.167 -1.248 8.000 -0.714
vina_03_296 -6.633 -1.542 156.463 -148.999 5.116 -3.708 -3.611 3.330 0.115 0.075 8.000 -0.489
vina_03_297 -9.157 -2.246 141.614 -139.291 4.588 -4.032 -2.148 3.570 0.177 1.681 8.000 -0.784
vina_03_298 -8.461 -1.759 152.935 -146.588 3.947 -3.732 -1.479 3.144 0.053 0.225 8.000 -1.301
vina_03_299 -7.170 -1.956 156.931 -149.870 6.327 -3.815 -4.225 3.425 -0.008 -1.178 8.000 -0.563
vina_03_300 -8.684 -1.475 151.889 -145.508 3.985 -3.867 -0.770 3.014 -0.009 -1.163 8.000 -0.887
vina_03_301 -6.878 -1.862 152.509 -147.093 6.174 -3.812 -3.097 3.541 0.143 0.354 8.000 -0.464
vina_03_302 -9.300 -2.011 139.877 -136.130 5.878 -4.231 -4.066 3.322 -0.036 -0.914 8.000 -0.535
vina_03_303 -7.674 -1.424 149.460 -144.904 4.773 -3.989 -0.931 3.169 0.095 1.106 8.000 -0.081
vina_03_304 -7.959 -1.461 158.574 -150.927 4.642 -3.947 -2.241 2.913 0.064 0.421 8.000 -0.766
vina_03_305 -7.637 -1.808 154.226 -147.726 5.129 -3.896 -3.042 3.342 0.106 -0.184 8.000 -0.484
vina_03_306 -8.739 -1.816 139.158 -136.364 5.175 -4.068 -3.754 3.295 0.222 0.356 8.000 -0.266
vina_03_307 -7.317 -1.898 143.910 -139.463 5.557 -3.915 -1.503 3.576 0.047 0.082 8.000 -0.166
vina_03_308 -6.326 -1.621 160.429 -154.605 6.002 -3.745 -3.398 3.274 0.096 1.325 8.000 -0.009
vina_03_309 -8.068 -1.363 152.855 -146.761 5.448 -4.064 -1.651 3.107 -0.119 -1.904 8.000 -0.120
vina_03_310 -9.092 -1.944 145.366 -139.812 5.430 -4.130 -2.345 3.364 0.033 -2.279 8.000 -0.769
vina_03_311 -8.300 -1.810 143.302 -138.043 5.683 -3.963 -2.538 3.305 -0.077 -3.184 8.000 -0.153
vina_03_312 -9.669 -2.257 139.733 -137.356 5.384 -3.767 -6.092 3.274 0.305 0.417 8.000 -1.689
vina_03_313 -7.417 -1.964 155.948 -149.664 5.762 -4.088 -2.080 3.513 -0.020 0.458 8.000 -0.171
vina_03_314 -7.837 -1.715 152.263 -147.251 4.636 -3.888 -2.460 3.244 0.202 1.172 8.000 -0.376
vina_03_315 -7.875 -1.760 151.298 -144.884 4.155 -3.639 -1.828 3.168 0.298 -0.071 8.000 -1.070
vina_03_316 -6.571 -1.800 154.960 -148.443 6.853 -3.748 -3.424 3.290 -0.052 -1.480 8.000 -0.124
vina_03_317 -6.458 -1.821 155.490 -149.728 6.617 -3.737 -2.933 3.377 0.027 -0.145 8.000 -0.155
vina_03_318 -8.233 -1.502 145.530 -140.562 4.860 -4.088 -1.875 3.085 0.169 -0.168 8.000 -0.102
vina_03_319 -8.095 -1.820 153.735 -147.934 4.653 -3.751 -2.668 3.233 0.094 0.593 8.000 -1.070
vina_03_320 -8.411 -1.352 153.615 -147.762 5.317 -4.127 -1.238 2.984 -0.227 -0.229 8.000 -0.525
vina_03_321 -7.002 -1.777 151.194 -144.885 5.053 -3.693 -1.609 3.324 0.036 -0.664 8.000 -0.282
vina_03_322 -8.119 -1.399 144.378 -140.171 4.745 -3.969 0.000 2.911 -0.027 0.579 8.000 -0.206
vina_03_323 -7.723 -1.621 136.052 -132.828 5.322 -3.804 -2.194 3.144 -0.010 0.015 8.000 -0.181
vina_03_324 -7.930 -1.567 154.421 -147.295 4.582 -3.994 -1.950 3.321 -0.004 -0.797 8.000 -0.509
vina_03_325 -7.188 -2.425 155.348 -150.685 8.152 -3.793 -7.470 3.903 -0.116 -1.745 8.000 -0.513
vina_03_326 -7.902 -1.818 150.472 -145.151 5.071 -3.984 -1.836 3.433 0.292 -0.100 8.000 -0.399
vina_03_327 -7.732 -2.875 152.362 -152.337 9.019 -3.918 -10.215 4.173 0.182 2.073 8.000 -0.500
vina_03_328 -9.140 -2.046 139.647 -135.426 5.597 -4.021 -5.047 3.381 0.274 -2.009 8.000 -0.755
vina_03_329 -8.248 -1.582 147.562 -142.393 5.233 -3.820 -0.510 3.005 -0.149 -0.488 8.000 -0.963
vina_03_330 -8.264 -2.564 156.533 -152.554 7.782 -3.860 -8.823 3.735 0.135 -1.115 8.000 -0.863
vina_03_331 -8.032 -1.915 150.969 -145.780 5.352 -3.819 -4.602 3.722 -0.047 -0.993 8.000 -0.871
vina_03_332 -7.347 -2.104 149.744 -144.256 6.590 -3.895 -2.371 3.837 -0.081 -2.351 8.000 -0.398
vina_03_333 -6.985 -1.802 155.315 -149.250 5.535 -3.736 -3.099 3.283 0.056 1.052 8.000 -0.557
vina_03_334 -7.753 -0.860 139.312 -135.148 5.347 -3.951 -3.072 3.300 0.012 -1.142 8.000 -0.556
vina_03_335 -7.218 -2.289 154.460 -151.287 8.899 -4.008 -7.247 3.957 -0.101 -1.415 8.000 -0.050
vina_03_336 -9.829 -2.088 144.971 -139.724 5.372 -3.931 -4.156 3.268 -0.072 -2.783 8.000 -1.537
